condition,condition_role,jammer_mode,eval_index,eval_seed,scan_id,replicate,scan_replicate,forced_reset_options,start_index,window_start,trajectory_seed
power_shift_20cm_5dBm,cross_configuration,sweeping,5,1006,5,0,0,"{""scan_id"": 5}",268,268,1759912088
power_shift_20cm_5dBm,cross_configuration,sweeping,6,1007,6,0,0,"{""scan_id"": 6}",249,249,1381723987
power_shift_20cm_5dBm,cross_configuration,sweeping,7,1008,7,0,0,"{""scan_id"": 7}",254,254,1246594574
power_shift_20cm_5dBm,cross_configuration,sweeping,8,1009,8,0,0,"{""scan_id"": 8}",533,533,1935451956
power_shift_20cm_5dBm,cross_configuration,sweeping,9,1010,9,0,0,"{""scan_id"": 9}",348,348,25761625
power_shift_20cm_5dBm,cross_configuration,sweeping,10,1011,0,1,1,"{""scan_id"": 0}",504,504,169217583
power_shift_20cm_5dBm,cross_configuration,sweeping,11,1012,1,1,1,"{""scan_id"": 1}",472,472,1646297722
power_shift_20cm_5dBm,cross_configuration,sweeping,12,1013,2,1,1,"{""scan_id"": 2}",77,77,1432109647
power_shift_20cm_5dBm,cross_configuration,sweeping,13,1014,3,1,1,"{""scan_id"": 3}",57,57,26118215
power_shift_20cm_5dBm,cross_configuration,sweeping,14,1015,4,1,1,"{""scan_id"": 4}",156,156,1010765984
power_shift_20cm_5dBm,cross_configuration,sweeping,15,1016,5,1,1,"{""scan_id"": 5}",85,85,845491145
power_shift_20cm_5dBm,cross_configuration,sweeping,16,1017,6,1,1,"{""scan_id"": 6}",327,327,208658099
power_shift_20cm_5dBm,cross_configuration,sweeping,17,1018,7,1,1,"{""scan_id"": 7}",14,14,1088812772
power_shift_20cm_5dBm,cross_configuration,sweeping,18,1019,8,1,1,"{""scan_id"": 8}",271,271,674499526
power_shift_20cm_5dBm,cross_configuration,sweeping,19,1020,9,1,1,"{""scan_id"": 9}",85,85,486066951
power_shift_20cm_5dBm,cross_configuration,random,0,1001,0,0,0,"{""scan_id"": 0}",123,123,133813960
power_shift_20cm_5dBm,cross_configuration,random,1,1002,1,0,0,"{""scan_id"": 1}",192,192,1494377427
power_shift_20cm_5dBm,cross_configuration,random,2,1003,2,0,0,"{""scan_id"": 2}",132,132,1931731252
power_shift_20cm_5dBm,cross_configuration,random,3,1004,3,0,0,"{""scan_id"": 3}",57,57,608679125
power_shift_20cm_5dBm,cross_configuration,random,4,1005,4,0,0,"{""scan_id"": 4}",92,92,1458657028
power_shift_20cm_5dBm,cross_configuration,random,5,1006,5,0,0,"{""scan_id"": 5}",536,536,2083628810
power_shift_20cm_5dBm,cross_configuration,random,6,1007,6,0,0,"{""scan_id"": 6}",300,300,1214579121
power_shift_20cm_5dBm,cross_configuration,random,7,1008,7,0,0,"{""scan_id"": 7}",242,242,1091294446
power_shift_20cm_5dBm,cross_configuration,random,8,1009,8,0,0,"{""scan_id"": 8}",283,283,141182350
power_shift_20cm_5dBm,cross_configuration,random,9,1010,9,0,0,"{""scan_id"": 9}",368,368,2053550929
power_shift_20cm_5dBm,cross_configuration,random,10,1011,0,1,1,"{""scan_id"": 0}",159,159,1431505603
power_shift_20cm_5dBm,cross_configuration,random,11,1012,1,1,1,"{""scan_id"": 1}",503,503,885622045
power_shift_20cm_5dBm,cross_configuration,random,12,1013,2,1,1,"{""scan_id"": 2}",75,75,761696302
power_shift_20cm_5dBm,cross_configuration,random,13,1014,3,1,1,"{""scan_id"": 3}",277,277,1675157497
power_shift_20cm_5dBm,cross_configuration,random,14,1015,4,1,1,"{""scan_id"": 4}",263,263,1100467247
power_shift_20cm_5dBm,cross_configuration,random,15,1016,5,1,1,"{""scan_id"": 5}",144,144,986369501
power_shift_20cm_5dBm,cross_configuration,random,16,1017,6,1,1,"{""scan_id"": 6}",385,385,685607400
power_shift_20cm_5dBm,cross_configuration,random,17,1018,7,1,1,"{""scan_id"": 7}",80,80,337967852
power_shift_20cm_5dBm,cross_configuration,random,18,1019,8,1,1,"{""scan_id"": 8}",358,358,1336142743
power_shift_20cm_5dBm,cross_configuration,random,19,1020,9,1,1,"{""scan_id"": 9}",240,240,750793385
